Data,Local,à vista (FUNRURAL),30 dias (FUNRURAL),#base²,à vista,30 dias,Data_new
2021-04-30,SP Barretos,"305,50","307,50",-,"309,50","311,50",2021-04-30 17:30:32.092448
2021-04-30,SP Araçatuba,"305,50","307,50",-,"309,50","311,50",2021-04-30 17:30:32.092448
2021-04-30,MG Triângulo,"299,50","301,50","-1,95%","303,50","305,50",2021-04-30 17:30:32.092448
2021-04-30,MG B.Horizonte,"295,50","297,50","-3,25%","299,50","301,50",2021-04-30 17:30:32.092448
2021-04-30,MG Norte,"295,50","297,50","-3,25%","299,50","301,50",2021-04-30 17:30:32.092448
2021-04-30,MG Sul,"289,50","291,50","-5,20%","293,50","295,50",2021-04-30 17:30:32.092448
2021-04-30,GO Goiânia,"289,50","291,50","-5,20%","293,50","295,50",2021-04-30 17:30:32.092448
2021-04-30,GO Reg. Sul,"289,50","291,50","-5,20%","293,50","295,50",2021-04-30 17:30:32.092448
2021-04-30,MS Dourados,"295,50","297,50","-3,25%","299,50","301,50",2021-04-30 17:30:32.092448
2021-04-30,MS C. Grande,"293,50","295,50","-3,90%","297,50","299,50",2021-04-30 17:30:32.092448
2021-04-30,MS Três Lagoas,"290,50","292,50","-4,88%","294,50","296,50",2021-04-30 17:30:32.092448
2021-04-30,RS Oeste**,"9,85","9,95","-2,93%","10,00","10,10",2021-04-30 17:30:32.092448
2021-04-30,RS Pelotas**,"9,85","9,95","-2,93%","10,00","10,10",2021-04-30 17:30:32.092448
2021-04-30,BA Sul,"285,50","287,50","-6,50%","289,50","291,50",2021-04-30 17:30:32.092448
2021-04-30,BA Oeste,"290,50","292,50","-4,88%","294,50","296,50",2021-04-30 17:30:32.092448
2021-04-30,MT Norte,"297,50","299,50","-2,60%","301,50","303,50",2021-04-30 17:30:32.092448
2021-04-30,MT Sudoeste,"298,50","300,50","-2,28%","302,50","304,50",2021-04-30 17:30:32.092448
2021-04-30,MT Cuiabá*,"298,50","300,50","-2,28%","302,50","304,50",2021-04-30 17:30:32.092448
2021-04-30,MT Sudeste,"298,50","300,50","-2,28%","302,50","304,50",2021-04-30 17:30:32.092448
2021-04-30,PR Noroeste,"296,50","298,50","-2,93%","300,50","302,50",2021-04-30 17:30:32.092448
2021-04-30,SC Oeste,"293,50","295,50","-3,90%","297,50","299,50",2021-04-30 17:30:32.092448
2021-04-30,MA Oeste,"289,50","291,50","-5,20%","293,50","295,50",2021-04-30 17:30:32.092448
2021-04-30,Alagoas,"293,50","295,50","-3,90%","297,50","299,50",2021-04-30 17:30:32.092448
2021-04-30,PA Marabá,"289,50","291,50","-5,20%","293,50","295,50",2021-04-30 17:30:32.092448
2021-04-30,PA Redenção,"288,50","290,50","-5,53%","292,50","294,50",2021-04-30 17:30:32.092448
2021-04-30,PA Paragominas,"293,50","295,50","-3,90%","297,50","299,50",2021-04-30 17:30:32.092448
2021-04-30,RO Sudeste,"288,50","290,50","-5,53%","292,50","294,50",2021-04-30 17:30:32.092448
2021-04-30,TO Sul,"292,50","294,50","-4,23%","296,50","298,50",2021-04-30 17:30:32.092448
2021-04-30,TO Norte,"292,50","294,50","-4,23%","296,50","298,50",2021-04-30 17:30:32.092448
2021-04-30,Acre,"273,00","275,00","-10,57%","276,50","278,50",2021-04-30 17:30:32.092448
2021-04-30,ES,"285,50","287,50","-6,50%","289,50","291,50",2021-04-30 17:30:32.092448
2021-04-30,RJ,"291,50","293,50","-4,55%","295,50","297,50",2021-04-30 17:30:32.092448
